exercise	feature_name	Estimate	Std. Error	df	t value	Pr(>|t|)	p_BH
0	3-Methyladipic acid	-0.0444304185531857	0.015359485116601753	16.306021006246628	-2.8927023409893975	0.010445337830105123	0.2855987836964357
0	4-Hydroxyphenylacetic Acid	0.024934398777031623	0.008793516382935601	16.858434934169686	2.8355435631436894	0.011486079895422515	0.2855987836964357
0	5-Hydroxyindoleacetic acid	0.061143666224852226	0.019617526707366682	16.85163283680091	3.116787714217401	0.006325787178937451	0.2855987836964357
0	Homovanillic acid	0.031006346739517833	0.01210958980274388	17.2247979295248	2.560478698666753	0.02012541858316929	0.28701963635746813
0	Hypotaurine	0.023270619334929278	0.009093101974702577	16.188394937835255	2.559150815603872	0.02087415537145223	0.28701963635746813
0	Indole-3-Acetic Acid	0.11578872066335706	0.037628209040972006	16.945175448465402	3.0771786278023194	0.0068500972585595985	0.2855987836964357
0	Indole-3-Propionic Acid	0.07875728409229628	0.02320304361346582	21.999999999470496	3.394265226764894	0.0026067397319364948	0.2855987836964357
0	Isovanillic Acid	0.036379725231540476	0.015186259308309634	17.777671869246145	2.395568552660903	0.02782629260641458	0.32843220510017745
0	Murocholic Acid	0.04229521201746051	0.015193729421958315	16.420541570395375	2.783728131707712	0.01304078709871742	0.2855987836964357
0	Pelargonic Acid	-0.017279069470222633	0.0074222206198344106	16.231344731645933	-2.3280188443937857	0.033149148072996404	0.36464062880296044
0	Phenylalanine	0.027469512580155543	0.013026171581544411	17.38087483146615	2.10879400813932	0.04975767648141872	0.5037075863369469
0	Phenylpyruvate	-0.062328533544708783	0.023438879916472075	16.603838619904685	-2.6591942006966955	0.016758523639967868	0.2855987836964357
0	Pyridoxine	-0.039971781131080325	0.014991749869285953	21.999999999895298	-2.6662518705019025	0.014105296093828329	0.2855987836964357
0	Tryptophan	0.06373059746465484	0.024377292146055166	18.483294843092253	2.6143427696077386	0.017309017193723377	0.2855987836964357
0	Tyrosine	0.030756850926965243	0.01009117782351195	17.606888226986545	3.0478950490103633	0.007055199973606408	0.2855987836964357
0	Xanthurenic acid	0.035055181621858215	0.014643776633489142	17.86133901753886	2.393862082114106	0.027866974978196873	0.32843220510017745
1	3Beta-Hydroxy-5-Cholenoic Acid / 5-Cholenic Acid-3Beta-Ol	-0.03404515567974513	0.013475508745393829	18.998456502281844	-2.526446780080372	0.020560404081377198	0.48385012814886763
1	5Alpha-Cholanic Acid-3Alpha, 7Beta-Diol-6-One	-0.02562123430904326	0.011064975556765767	24.999999999185388	-2.315525613012037	0.029077352332534532	0.48385012814886763
1	5alpha-Cholanic Acid-3beta-Ol	-0.0338050751820502	0.014580070196440819	18.9887177892375	-2.318581099170733	0.031726776262936435	0.48385012814886763
1	5beta-Cholanic Acid-7alpha, 12alpha-Diol	-0.011403443296619391	0.005336020224366774	19.327336907310148	-2.1370689797137414	0.04558132707318784	0.48385012814886763
1	7-Ketodeoxycholic Acid	-0.04307443038224064	0.02022413192121096	20.60251888646546	-2.129853115577456	0.045412330384614924	0.48385012814886763
1	Allocholic acid	-0.04270273118088282	0.015345298017199185	20.098584497358196	-2.7827893034740097	0.011451015340259666	0.48385012814886763
1	Cholic Acid	-0.05206632774754686	0.02367246828536276	24.99999999986496	-2.1994465097558367	0.037313042920656146	0.48385012814886763
1	Glycocholic Acid	-0.07632484926142258	0.034163086978934935	24.99999999995516	-2.2341321001958843	0.034654534723583354	0.48385012814886763
1	Glycolithocholic Acid	-0.03317741995208235	0.014181388246764702	19.96747596820958	-2.3395043824183674	0.029814704641506352	0.48385012814886763
1	Isolithocholic Acid	-0.027224453746653686	0.011621943346124807	19.488251077356747	-2.342504427689483	0.029901935917877688	0.48385012814886763
1	Murocholic Acid	-0.04661260096348001	0.01646156178081404	19.271824067815224	-2.8316025893610544	0.010562548170637141	0.48385012814886763
1	Phenylacetylglutamine	0.01935707209381006	0.008648522647934446	24.999999999245635	2.238194068721456	0.03435468784629251	0.48385012814886763
1	Syringic Acid	0.049477171024952915	0.01921493725985411	19.577656821481504	2.574932738829488	0.018271951647319602	0.48385012814886763
